id,Title,address
1162,"Le SAGE 茱莉金牛排餐酒館",台北市大安區浦城街26巷2號1樓
1174,華西街台南擔仔麵,台北市萬華區華西街31-1號
1214,我!就厲害燒肉放題西門珍饌店,台北市萬華區漢中街127號5樓
1374,Burrata,"1247 S 13th St"
1376,"White Yak","6118 Ridge Ave, Philadelphia, PA 19128"
1377,"La Nonna"," 214 South St, Philadelphia, PA 19147"
1383,"Vientiane Bistro","2537 Kensington Ave, Philadelphia, PA 19125"
1387,Yamitsuki,"1028 Arch St , Philadelphia, PA 19107"
1388,Sakartvelo,"705 Chestnut St, Philadelphia, PA 19106"
1389,"Apricot Stone","428 W Girard Ave, Philadelphia, PA 19123"
1398,"Chabba Thai bistro","4343 Main St, Philadelphia, PA 19127"
1399,"Yanako restaurant","4345 Main St, Philadelphia, PA 19127"
1401,Fiorino,"3572 Indian Queen Ln, Philadelphia, PA 19129"
1402,"Santucci’s pizza",
1404,"Han dynasty (manayunk)","4356 Main St, Philadelphia, PA 19127"
1407,"Casablanca Mediterranean Grill","947 Federal St, Philadelphia, PA 19147"
1408,"Alyan's Middle Eastern &amp; Mediterranean Restaurant","603 S 4th St, Philadelphia, PA 19147"
1409,Zeppoli,"618 Collings Ave, Collingswood NJ 08107"
1410,"June BYOB","690 Haddon Ave, Collingswood, NJ 08108"
1412,Scampi,"617 S 3rd St, Philadelphia, PA 19147"
1417,"Kung Fu Hot Pot","1008 Cherry St 3rd floor, Philadelphia, PA 19107"
1484,"Blu koi 壽司割烹",台北市大安區仁愛路4段300巷17弄3號
1555,"A Mano","2244 Fairmount Ave, Philadelphia, PA 19130"
1556,"Adoro Restaurant","769 E Passyunk Ave, Philadelphia, PA 19147"
1557,"Ambrosia Ristorante","231 S 24th St, Philadelphia, PA 19103"
1558,"Bistro La Baia BYOB","1700 Lombard St, Philadelphia, PA 19146"
1559,"Casa Nostra","775 S Front St, Philadelphia, PA 19147"
1560,CHAR,"310 Master St, Philadelphia, PA 19122"
1561,"El Chingon Philly","1524 S 10th St, Philadelphia, PA 19147"
1562,Elma,"431 E Girard Ave, Philadelphia, PA 19125"
1563,"Giorgio On Pine","1328 Pine St, Philadelphia, PA 19107"
1564,"Giorgio on Pine II","1334 Pine St, Philadelphia, PA 19107"
1565,Helm,"1303 N 5th St, Philadelphia, PA 19122"
1566,"Hikari Sushi","1040 N American St #701, Philadelphia, PA 19123"
1567,ILLATA,"2241 Grays Ferry Ave, Philadelphia, PA 19146"
1568,"Kei Sushi","1711 South St, Philadelphia, PA 19146"
1569,"Kichi Omakase","112 S 12th St, Philadelphia, PA 19107"
1570,Kinme,"1117 Locust St, Philadelphia, PA 19107"
1571,"KINTO Cozy &amp; Authentic Georgian Restaurant","1144 Frankford Ave, Philadelphia, PA 19125"
1573,"La Viola Bistro","253 S 16th St, Philadelphia, PA 19102"
1574,"L'Angolo Ristorante","1415 W Porter St, Philadelphia, PA 19145"
1575,L'Anima,"1001 S 17th St, Philadelphia, PA 19146"
1576,"Little Fish BYOB","746 S 6th St, Philadelphia, PA 19147"
1577,"Luna BYOB","227 S 20th St, Philadelphia, PA 19103"
1578,Mawn,"764 S 9th St, Philadelphia, PA 19147"
1579,Melograno,"2012 Sansom St, Philadelphia, PA 19103"
1580,Mercato,"1216 Spruce St, Philadelphia, PA 19107"
1581,"Nakama Japanese Cuisines &amp; Omakase","45 N 13th St, Philadelphia, PA 19107"
1582,"Nori Sushi","1636 South St, Philadelphia, PA 19146"
1583,Olea,"232 Arch St, Philadelphia, PA 19106"
1584,Paffuto,"1009 S 8th St, Philadelphia, PA 19147"
1585,"Pera Turkish Cuisine","944 N 2nd St, Philadelphia, PA 19123"
1586,Porcini,"2048 Sansom St, Philadelphia, PA 19103"
1587,"Rice &amp; Sambal","1911 E Passyunk Ave, Philadelphia, PA 19148"
1588,Scannicchio's,"2500 S Broad St, Philadelphia, PA 19145"
1589,Stina,"1705 Snyder Ave, Philadelphia, PA 19145"
1590,"Tamalex Restaurant","1163 S 7th St, Philadelphia, PA 19147"
1591,"Thai Square Restaurant","2521 Christian St, Philadelphia, PA 19146"
1592,"Trattoria Carina","2201 Spruce St, Philadelphia, PA 19103"
1593,"Vic Sushi Bar","2035 Sansom St, Philadelphia, PA 19103"
1594,"Vientiane Café","4728 Baltimore Ave, Philadelphia, PA 19143"
1726,"Ristorante Aroma","1245 S 3rd St, Philadelphia, PA 19147"
1727,"Bricco Coal Fired Pizza","128 Haddon Ave, Haddon Township, NJ 08108"
1728,"Buca D'oro Ristorante","711 Locust St, Philadelphia, PA 19106"
1729,"Cilantro Mediterranean Cuisine","613 S 4th St, Philadelphia, PA 19147"
1730,"Cucina Maria South Philly","768 S 8th St, Philadelphia, PA 19147"
1731,Figs,"2501 Meredith St, Philadelphia, PA 19130"
1732,"Gnocchi Restaurant","613 E Passyunk Ave, Philadelphia, PA 19147"
1733,"Golden Gates Restaurant","11058 Rennard St, Philadelphia, PA 19116"
1734,Hardena,"1754 S Hicks St #2217, Philadelphia, PA 19145"
1735,"Heavy Metal Sausage","1527 W Porter St, Philadelphia, PA 19145"
1736,Kanella,"1001 Spruce St, Philadelphia, PA 19107"
1737,"La Canasta Mexican Food","2341 S 4th St, Philadelphia, PA 19148"
1738,"La Fontana Della Citta","1701 Spruce St, Philadelphia, PA 19103"
1739,"La Sera Italiana BYOB","1608 South St, Philadelphia, PA 19146, United States"
1740,"La Trattoria","7131 Germantown Ave, Philadelphia, PA 19119"
1741,"Los Gallos","951 Wolf St, Philadelphia, PA 19148"
1742,"México Lindo Y Que Rico Restaurant","700 Moore St, Philadelphia, PA 19148"
1743,"Osteria Ama Philly","1905 Chestnut St, Philadelphia, PA 19103"
